group,ratioRank,mediaId,mediaName,impressions,dailyFootfall,ratio,dailyFootfallx30,copyMonthlyVsDailyX30,copyDailyVsFootfall,copyMonthlyVsImpressions,copySnippets,copyMismatchReasons,description,effectMemo,priceNote,location,price,cpm,recalcCpm,priceEqualsImpressions,hasProposal,proposalFileExists,proposalFileCount,reviewStatus,reviewReason,alreadyPhaseB6,isActive,mediaSubCategory
1,1,cmoyjxgn5000004lepbkbec5l,NC 다이노스 메인 전광판 광고,8500000,12000,708.33,360000,카피숫자없음,카피숫자없음,카피숫자없음,,,"NC 다이노스 야구장 광고는 창원 NC파크 구장 내부에 설치된 다양한 형태의 스포츠 마케팅 매체입니다. 홈경기 개최 시 평균 1만 명 이상의 관중과 TV 중계를 통한 수십만 시청자에게 동시 노출되어 광범위한 광고 효과를 제공합니다. 경기 관람 중 자연스럽게 시선이 향하는 펜스, 전광판, 스코어보드 등에 위치하여 높은 주목도와 반복 노출 효과를 보장하며 열정적인 야구 팬들의 긍정적 감성과 연결됩니다. 지역 기반 브랜드, 금융상품, 식음료, 가족 타겟 제품 등 스포츠와 연계한 브랜드 이미지 제고가 필요한 광고주에게 최적화된 매체입니다.","창원 NC파크 메인 전광판(2208×1200 pixel)은 홈경기당 평균 1만 명 이상 관중 + TV 중계 수십만 시청자에게 동시에 노출되는 초고주목도 스포츠 마케팅 매체입니다. 경기 중 자연스럽게 시선이 집중되는 위치로 높은 반복 노출 효과를 제공하며, 열정적인 야구 팬들의 긍정적 감성과 연결되어 브랜드 이미지 제고에 탁월합니다. 지역 브랜드, 금융, 식음료, 가족 타겟 제품의 스포츠 연계 캠페인에 최적화된 프리미엄 디지털 매체입니다.","6개월 기준 40,000,000원 (월 환산 약 6,666,667원, VAT 별도)",경남 창원시 마산회원구 삼호로 63 (창원 NC파크),7000000,824,824,N,false,없음,0,clean,,N,true,leisure
1,2,cmp3biu21000004l8a8ijkh9c,지하철 2호선 메트로라이브 광고,45000000,130000,346.15,3900000,불일치,카피숫자없음,불일치,"월 평균 7,000만명→70,000,000",카피월≠daily×30;price=impressions,"서울 지하철 2호선 내·외선 열차 내부에 설치된 디지털 미디어 매체입니다. 출입문 상단에 W자 형태로 설치된 대형 LCD 스크린으로, 2호선 이용객의 시선을 집중적으로 사로잡는 고효율 차내 디지털 광고 매체입니다. 기존 인쇄물에서 디지털로 리뉴얼되어 화면 크기와 해상도가 확대되었으며, 브랜드 영상과 이미지를 다양하게 활용할 수 있습니다.","메트로라이브는 서울 지하철 2호선 내·외선 열차 내부에 설치된 프리미엄 차내 디지털 매체입니다. 2호선은 서울에서 가장 이용객이 많은 노선으로, 월 평균 7,000만명 이상이 이용합니다. 출입문 상단에 설치된 대형 LCD로 승객들의 시선이 자연스럽게 집중되며, 15초 소재 기준 일 70회 이상 송출이 보장됩니다. 브랜드 영상 전면 표출, 영상+이미지 동시 표출, 중앙 배치 등 다양한 크리에이티브 형식을 지원합니다.","1구좌 기준 월 45,000,000원 (VAT 별도)",서울 지하철 2호선 내·외선 열차 내부 (총 70면성),45000000,1000,1000,Y,false,있음,4,flagged,subway_monthly_cap,Y,true,subway_station
1,3,cmp3v92yy000004jr7i6ykgy1,골프장 미디어바 광고,2850000,8500,335.29,255000,카피숫자없음,카피숫자없음,카피숫자없음,,,"경기도 용인, 파주, 이천, 가평 등 수도권 주요 골프장 라운지 및 카트 내부에 설치된 디지털 미디어바 광고 매체로, 평균 4시간 이상 체류하는 이용객에게 지속 노출되는 고급 타깃형 매체입니다. 이동 중 자연스럽게 시선이 머무는 위치에 설치되어 브랜드 인지도 제고와 프리미엄 이미지를 동시에 강화할 수 있습니다. 뷰티, 리빙, 금융, 자동차 등 고소득층 중심의 라이프스타일 브랜드 홍보에 효과적입니다.","수도권 주요 골프장(용인·파주·이천·가평) 라운지 및 카트에 설치된 미디어바 매체입니다. 평균 4시간 이상 체류하는 고소득층 이용객에게 지속적·근접 노출이 가능하며, 프리미엄 이미지와 브랜드 인지도 제고에 탁월한 효과를 발휘합니다. 뷰티, 리빙, 금융, 자동차 등 라이프스타일 브랜드의 고급 타겟 마케팅에 최적화된 프리미엄 DOOH 매체입니다.",구장 수별 차등 (VAT 별도),"경기도 용인, 파주, 이천, 가평 주요 골프장",5000000,1754,1754,N,false,없음,0,clean,,N,true,subway_station
1,4,cmp0s58ou000404kty3ncswwp,대구 국제공항 국내선 2층 격리대합실 사각기둥 광고,1600000,7200,222.22,216000,카피숫자없음,카피숫자없음,카피숫자없음,,,"대구국제공항 국내선 2층 격리대합실 사각기둥 전광판 11,12 매체는 탑승 대기 중인 이용객에게 지속적으로 노출되는 프리미엄 디지털 옥내광고입니다. 탑승 게이트 인근 핵심 동선에 위치해 시선 집중도가 높으며 자연스러운 반복 노출로 브랜드 인지 효과를 극대화합니다. 공항 특유의 여유로운 체류 환경 속에서 영상 중심의 생동감 있는 브랜드 경험을 제공합니다.","대구국제공항 국내선 2층 격리대합실 사각기둥 11,12에 설치된 세로형 DOOH 매체(1m × 1.5m, 2기 8면)입니다. 탑승 게이트 인근 핵심 대기 공간에 위치해 탑승을 기다리는 이용객에게 지속적이고 반복적인 노출이 가능합니다. 공항 특유의 여유로운 체류 환경에서 20초 MP4 영상으로 생동감 있는 브랜드 경험을 제공하며, 높은 시선 집중도와 인지 효과를 기대할 수 있는 프리미엄 공항 옥내 매체입니다.","1개월 기준 2,000,000원 (VAT 별도)","대구광역시 동구 공항로 221 대구국제공항 국내선 2층 격리대합실 사각기둥 11,12",2000000,1250,1250,N,false,없음,0,clean,,N,true,airport
1,5,cmp0s2i8b000004jxap4ok8ci,대구 국제공항 카트 광고,1800000,8500,211.76,255000,카피숫자없음,카피숫자없음,카피숫자없음,,,"본 매체는 대한민국 대구에 위치한 OOH(Out-Of-Home) 매체로, 공항에 속하며, 3개, 3면 으로 구성되어 있습니다. 광고 집행 최소 비용은 4,000,000KRW입니다.","대구국제공항 내 이동하는 카트 3개 3면에 설치된 정적 OOH 매체입니다. 여행객들이 공항 이동 시 반드시 이용하는 카트에 출력물(49×25cm, 17×33cm, 46×12cm)이 부착되어 높은 노출 빈도를 제공합니다. 1개월 100구좌 기준으로 집행 가능하며, 도착·출발 동선과 면세점·게이트 이동 시 자연스러운 주목을 받을 수 있어 여행·관광·소비재 브랜드에게 효과적인 공항 OOH 매체입니다.","1개월 기준 4,000,000원 (VAT 별도, 100구좌)",대구광역시 동구 공항로 221 대구국제공항,4000000,2220,2222,N,false,없음,0,clean,,N,true,airport
1,6,cms4vn593000404jo50pv0lmb,스크린골프 미디어 (Screengolf) 광고,14139000,70000,201.99,2100000,카피숫자없음,카피숫자없음,카피숫자없음,,,"장시간 집중도 있는 노출로 3050 대상을 최적화한 홍보매체. 스크린골프장 이용객의 평균 체류시간 3시간 기준으로 동일인에게 평균 30회 노출되며, 구매력을 갖춘 명확한 타겟에게 지속적·반복적으로 광고를 송출하는 전국 네트워크 매체입니다.","전국 4,713대 스크린골프 미디어 네트워크. 이용객 평균 체류 3시간으로 동일인 평균 30회 노출. 1대당 일 100회 송출, 전국 일 471,300회 이상 노출 가능. 상업광고 20구좌 + 콘텐츠 10구좌 운영. 구매력 높은 3050 타겟에게 장시간 집중 노출이 가능한 최적 플랫폼입니다.",전국 패키지 30초 기준 (VAT 별도). 장기 계약 시 3개월 10% / 6개월 20% / 12개월 30% 할인,"전국 스크린골프장 (매장 540개 / 미디어 4,713대)",25000000,1768,1768,N,false,없음,0,clean,,N,true,leisure
1,7,cmozef5v4000404l21zc780sn,인천공항 T1 Center Bridge,20000000,110000,181.82,3300000,카피숫자없음,카피숫자없음,카피숫자없음,,cpm≤10(placeholder),출국 수속 후 비행기 탑승 전 이용하는 면세점과 쇼핑 및 편의시설 구역에 위치한 매체입니다. 대부분의 여행객이 가장 오랜 시간을 머무는 공간으로 다수의 글로벌 패션 및 명품 브랜드 매장 인근에 위치해 높은 노출 효과를 제공합니다.,"인천국제공항 제1여객터미널 출발층 면세점과 쇼핑·편의시설 구역 내 Center Bridge에 위치한 대형 가로형 OOH 매체(9m × 2.5m, 4기)입니다. 출국 수속 후 탑승 전까지 대부분의 여행객이 가장 오랜 시간을 보내는 핵심 쇼핑 동선에 자리하여 지속적이고 높은 노출 효과를 제공합니다. 다수의 글로벌 패션 및 명품 브랜드 매장 인근에 위치해 프리미엄 브랜드 인지도 제고에 탁월하며, 여행객들의 이동과 쇼핑 과정에서 자연스럽게 시선을 사로잡는 효과적인 매체입니다. 럭셔리 패션, 명품, 뷰티, 액세서리 등 브랜드의 공항 내 프리미엄 마케팅에 최적화되어 있습니다.","1개월 기준 80,000,000원 (VAT 별도)",인천광역시 중구 공항로 271,80000000,4,4000,N,false,없음,0,flagged,subway_monthly_cap,Y,false,subway_station
1,8,cmp0s5qz9000404jxxq1ve1su,대구 국제공항 도착장 멀티비전 광고,2200000,12500,176,375000,카피숫자없음,카피숫자없음,카피숫자없음,,,대구국제공항 도착장 멀티비전 매체는 도착장 출구 동선에 설치된 대형 디지털 스크린으로 공항을 이용하는 모든 승객과 방문객에게 높은 주목도로 노출되는 프리미엄 광고매체입니다. 입국 직후 자연스럽게 시선을 끌며 브랜드 메시지를 효과적으로 전달합니다. 이동 동선의 중심에 위치해 지속적인 노출과 강한 인지 효과를 제공하는 고품질 디지털 옥외매체입니다.,"대구국제공항 도착장 출구 동선에 설치된 대형 멀티비전 DOOH 매체(2.5m × 1.5m, 1기 2면)입니다. 입국하는 모든 승객과 마중객에게 자연스럽게 시선을 사로잡는 핵심 위치로, 입국 직후 높은 주목도와 반복 노출을 제공합니다. 20초 MP4 영상으로 생동감 있게 브랜드 메시지를 전달하며, 도착 동선 중심에 위치한 프리미엄 공항 매체로 강한 인지 효과와 브랜드 경험을 극대화합니다.","1개월 기준 2,000,000원 ~ 4,000,000원 (VAT 별도)",대구광역시 동구 공항로 221 대구국제공항 1층 도착장 멀티비전,4000000,1820,1818,N,false,없음,0,clean,,N,true,airport
1,9,cmqp7sr5k000004jpyzaczfao,분당선 압구정로데오역 헬로 로데오 DS 광고,6500000,38000,171.05,1140000,불일치,카피숫자없음,불일치,"월 97만 명→970,000",카피월≠daily×30,"서울 강남구 압구정로데오역 지하 1층 대합실에 설치된 프리미엄 디지털사이니지(DOOH) 매체입니다. 총 8기 30면의 86인치 UHD 대형 디지털 패널로 구성되어 있으며, 압구정 로데오·청담·도산공원으로 향하는 모든 출구 동선이 교차하는 중앙 광장에 위치해 높은 구매력의 럭셔리·트렌드 타겟에게 강력한 노출을 제공합니다. 채널, 오메가 등 럭셔리 브랜드가 실제 집행 중인 고관여·고시인성 실내 DOOH 매체입니다.","압구정로데오역 헬로 로데오는 압구정·청담·도산 일대 최고 구매력 타겟이 매일 지나가는 필수 동선에 위치한 대형 디지털사이니지입니다. 총 8기 30면의 압도적인 규모로 로비 중앙을 장악하며, 럭셔리·패션·뷰티 브랜드가 실제로 집행 중인 고품질 실내 DOOH 매체입니다. 월 97만 명 이상의 유동인구와 높은 소비지수를 보유한 프리미엄 타겟에게 강력한 브랜딩 효과를 제공합니다.","1구좌 기준 8,000,000원 (VAT 별도) / 총 20구좌 운영",서울 강남구 압구정로 402 지하 1층 대합실,8000000,1231,1231,N,false,없음,0,clean,,N,true,subway_station
1,10,cmp65rrot000004jx2o87isb3,시청 근원빌딩 전광판 광고,8500000,50000,170,1500000,카피숫자없음,카피숫자없음,카피숫자없음,,,"서울역에서 시청 및 광화문으로 향하는 구간에 위치하여 통행 차량과 보행자들에게 높은 주목도를 이끌어내는 매체입니다. 인근의 직장인들과 관광객들의 밀집으로 더욱 가시성이 뛰어난 매체로 자리 잡았습니다. 시청역 근원빌딩 전광판 광고는 서울 중구 세종대로 91에 위치한 대형 디지털 전광판으로, 20초 영상 기준 월 1,000만원에 운영됩니다.","시청역 근원빌딩에 위치한 대형 디지털 전광판입니다. 서울역~시청~광화문으로 이어지는 주요 동선에 자리해 차량과 보행자 모두에게 높은 가시성을 제공합니다. 직장인과 관광객이 밀집한 도심 핵심 구간으로, 브랜드 인지도 제고와 이벤트 홍보에 효과적인 프리미엄 전광판 매체입니다.","20초 기준 월 10,000,000원 (VAT 별도)",서울시 중구 세종대로 91 근원빌딩,10000000,1176,1176,N,false,없음,0,clean,,N,true,digital_signage
