mediaId,mediaName,group,ratio,impressions,dailyFootfall,computed_daily_x30,copyClaimedValue,copyRawText,copyMismatchReasons,mismatchRatio,contradictionType,hasProposal,galleryProposalCount,galleryProposalPaths,mediaSubCategory,verdict,verdictNote
cmp3biu21000004l8a8ijkh9c,지하철 2호선 메트로라이브 광고,1,346.15,45000000,130000,3900000,70000000,"… 수 있습니다. 메트로라이브는 서울 지하철 2호선 내·외선 열차 내부에 설치된 프리미엄 차내 디지털 매체입니다. 2호선은 서울에서 가장 이용객이 많은 노선으로, 월 평균 7,000만명 이상이 이용합니다. 출입문 상단에 설치된 대형 LCD로 승객들의 시선이 자연스럽게 집중되며, 15초 소재 기준 일 70회 이상 송출이 보장됩니다. 브랜드 영상 …",카피월≠daily×30;price=impressions,17.9487,OTHER,false,4,https://tkad-cdn.b-cdn.net/지하철 메트로라이브 광고매체 제안서4.jpg | https://tkad-cdn.b-cdn.net/지하철 메트로라이브 광고매체 제안서5.jpg | https://tkad-cdn.b-cdn.net/지하철 메트로라이브 광고매체 제안서1.jpg | https://tkad-cdn.b-cdn.net/지하철 메트로라이브 광고매체 제안서2.jpg,subway_station,,
cmozef5v4000404l21zc780sn,인천공항 T1 Center Bridge,1,181.82,20000000,110000,3300000,,"파싱실패/카피숫자없음 — 원문: 출국 수속 후 비행기 탑승 전 이용하는 면세점과 쇼핑 및 편의시설 구역에 위치한 매체입니다. 대부분의 여행객이 가장 오랜 시간을 머무는 공간으로 다수의 글로벌 패션 및 명품 브랜드 매장 인근에 위치해 높은 노출 효과를 제공합니다. 인천국제공항 제1여객터미널 출발층 면세점과 쇼핑·편의시설 구역 내 Center Bridge에 위치한 대형 가로형 OOH 매체(9m × 2.5m, 4기)입니다. 출국 수속 후 탑승 전까지 대부분의 여행객이 가장 오랜 시간을 보내는 핵심 쇼핑 동선에 자리하여 지속적이고 높은…",cpm≤10(placeholder),,OTHER,false,0,,subway_station,,
cmqp7sr5k000004jpyzaczfao,분당선 압구정로데오역 헬로 로데오 DS 광고,1,171.05,6500000,38000,1140000,970000,"…형 디지털사이니지입니다. 총 8기 30면의 압도적인 규모로 로비 중앙을 장악하며, 럭셔리·패션·뷰티 브랜드가 실제로 집행 중인 고품질 실내 DOOH 매체입니다. 월 97만 명 이상의 유동인구와 높은 소비지수를 보유한 프리미엄 타겟에게 강력한 브랜딩 효과를 제공합니다. 1구좌 기준 8,000,000원 (VAT 별도) / 총 20구좌 운…",카피월≠daily×30,0.8509,OTHER,false,0,,subway_station,,
cmo5zgtqk000004l8s594fn51,신세계백화점 본점 신세계 스퀘어 전광판 광고,1,134.67,4500000,33414,1002420,120000,"…화점 전면 미디어입니다. 총면적 약 1,292㎡의 초대형 커브드 LED 전광판으로 명동·시청·남대문을 잇는 도심 중심축에서 압도적인 시각적 존재감을 형성합니다. 하루 평균 12만 명 이상이 통행하는 고밀도 상권 내에서 럭셔리 브랜드, 패션, 뷰티 캠페인에 최적화된 프리미엄 DOOH 미디어로 국내 최고 수준의 해상도와 밝기를 제공합니다. 서울…",카피일≠dailyFootfall,0.1197,OTHER,false,0,,digital_signage,,
cmrx2jg0z001n04jr751ualgm,KTX 전주역 맞이방 영상광고 (4번) 광고,2,120,1800000,15000,450000,,"파싱실패/카피숫자없음 — 원문: 전주역 맞이방에 설치된 대형 영상광고 매체입니다. 4,000 × 2,000mm 규격의 디지털 스크린으로, 역사 이용객이 집중되는 맞이방 핵심 위치에 노출됩니다. 일 200회 내외(월 약 6,000회) 표출되며, 15구좌 기준으로 운영됩니다. 전주역 맞이방 영상광고는 역사 이용객이 가장 많이 모이는 핵심 동선에 위치한 대형 디지털 매체입니다. 일 200회 이상 표출되어 높은 반복 노출 효과를 제공하며, KTX 이용객과 지역 주민을 동시에 타겟팅할 수 있습니다. 20초 1,200,000원 / 30초 …",cpm≤10(placeholder),,OTHER,false,0,,ktx_terminal,,
cmokcli51000004l19rum9jwj,스타필드 하남점 LED 전광판 광고,2,92.86,6500000,70000,2100000,,"파싱실패/카피숫자없음 — 원문: 스타필드 하남점 LED 전광판은 일평균 7만 명 주말 최대 10만 명이 방문하는 수도권 동부 대표 복합쇼핑몰의 핵심 공간에 설치된 초대형 디지털 광고 매체입니다. 쇼핑몰 중심부 고층 개방형 천장 아래 위치하여 방문객의 동선과 시선을 자연스럽게 사로잡는 구조로 설계되었습니다. 2030세대 젊은 층부터 가족 단위 방문객, 고소득 소비층까지 폭넓게 커버하며, 브랜드 메시지를 고급스럽고 임팩트 있게 전달할 수 있습니다. 서울 강동·송파 및 경기 하남·광주·성남권까지 아우르는 광역 커버리지와 파급력을 제공…",cpm≤10(placeholder),,OTHER,false,0,,billboard,,
cms4dt5b8000404l4ze7pd4em,디저트랩 이마트24 서울숲점 LED 사이니지 광고,2,65.79,2500000,38000,1140000,,"파싱실패/카피숫자없음 — 원문: 디저트의 성지 아뜰리에길 초입에 위치한 대형 LED 전광판. 감각적 인테리어로 주목도가 최상인 위치에 설치되어 있습니다. 디저트의 성지 아뜰리에길 초입에 위치한 대형 LED 전광판(1,280mm × 2,400mm, 688px × 1,290px). 세로형 9:16 영상 송출이 가능하며, 감각적 인테리어로 주목도가 최상인 위치에 설치되어 성수동 방문객에게 높은 노출을 제공합니다. 2,500,000원 / 월 (VAT 제외) · 일 100회 이상 (20초 소재 기준) · 총 30구좌 중 상업광고 24구좌",price=impressions,,OTHER,false,0,,convenience,,
cmp0gjlox000m04ib37h33kgd,인천지하철 1호선 원인재역 디지털사이니지 (디지털포스터) 광고,2,57.14,1200000,21000,630000,,"파싱실패/카피숫자없음 — 원문: 인천지하철 1호선 원인재역에 설치된 디지털사이니지 매체입니다. 55인치 Full HD 모니터 4기로 구성되어 있으며, 승강장 입구와 대합실에 위치해 계양 방향·국제업무지구 방향 이용객에게 노출됩니다. 원인재역 디지털사이니지는 승강장 입구에 위치한 55인치 4기 매체입니다. 연수구 일대 통행객에게 안정적인 노출이 가능하며 비용 효율이 좋은 매체입니다. 20초 동영상 기준 월 1,100,000원 / 10초 스틸 월 900,000원 (VAT 별도)",cpm≤10(placeholder),,OTHER,false,0,,subway_station,,
cmp0gg9e3000e04jicm5nl221,인천지하철 1호선 작전역 디지털사이니지 (디지털포스터) 광고,2,57.14,1600000,28000,840000,,"파싱실패/카피숫자없음 — 원문: 인천지하철 1호선 작전역에 설치된 디지털사이니지 매체입니다. 55인치 Full HD 모니터 8기로 구성되어 있으며, 대합실 주요 통로에 위치해 경인교대입구역·갈산역 방향 이용객에게 노출됩니다. 작전역 디지털사이니지는 55인치 8기 규모로 대합실 핵심 통로에 설치되어 높은 주목도를 제공합니다. 중규모 역사에 적합한 효율적인 매체입니다. 20초 동영상 기준 월 1,900,000원 / 10초 스틸 월 1,700,000원 (VAT 별도)",cpm≤10(placeholder),,OTHER,false,0,,subway_station,,
cmp0gi5je000g04jile8iqnr5,인천지하철 1호선 부평역 디지털사이니지 (디지털포스터) 광고,2,56.92,3700000,65000,1950000,,"파싱실패/카피숫자없음 — 원문: 인천지하철 1호선 부평역에 설치된 디지털사이니지 매체입니다. 55인치 Full HD 모니터 28기로 구성되어 있으며, 승강장 계단 벽면과 환승 대합실에 대규모로 설치되어 부평 상권·환승객에게 강력한 노출을 제공합니다. 부평역 디지털사이니지는 55인치 28기 규모의 최대 매체입니다. 승강장 계단과 환승 대합실에 집중 배치되어 부평 상권과 환승객에게 압도적인 노출 효과를 제공합니다. 20초 동영상 기준 월 3,600,000원 / 10초 스틸 월 3,100,000원 (VAT 별도)",cpm≤10(placeholder),,OTHER,false,0,,subway_station,,
cmrwgei4j000b04lat8caj53b,인천지하철 1호선 인천시청역 I-SCREEN 영상광고,2,56.92,1000000,17569,527070,,"파싱실패/카피숫자없음 — 원문: 인천지하철 인천시청역에 설치된 I-SCREEN LED 영상광고 매체입니다. 인천1·2호선 환승역이자 행정·교육 중심지로, 인천시청·인천시교육청 등 중요 교통·행정 거점에 위치합니다. 인천시청역 I-SCREEN은 인천의 행정·교육 중심 환승역에 위치한 LED 영상매체입니다. 시청·교육청 관련 유동인구와 환승객에게 안정적인 노출이 가능하며, 비교적 합리적인 단가로 집행할 수 있습니다. 20초 기준 월 2,000,000원 / 30초 기준 월 3,000,000원 (VAT 별도)",cpm≤10(placeholder),,OTHER,false,0,,subway_station,,
cmp0gd45o000c04ji4usu8p0e,인천지하철 1호선 예술회관역 디지털사이니지 (디지털포스터) 광고,2,56.82,1250000,22000,660000,,"파싱실패/카피숫자없음 — 원문: 인천지하철 1호선 예술회관역에 설치된 디지털사이니지 매체입니다. 55인치 Full HD 모니터 4기로 구성되어 있으며, 대합실 정면에 위치해 인천시청 방향 이용객과 예술회관 방문객에게 노출됩니다. 예술회관역 디지털사이니지는 대합실 정면에 위치한 55인치 4기 매체입니다. 문화·예술 타겟과 일반 통행객에게 안정적인 노출이 가능하며 합리적인 단가가 특징입니다. 20초 동영상 기준 월 1,100,000원 / 10초 스틸 월 900,000원 (VAT 별도)",cpm≤10(placeholder),,OTHER,false,0,,subway_station,,
